meeting_id,circuit_id,round_number,season,gp_name,date_start,date_end,timezone,country_code,openf1_meeting_key,openf1_circuit_key,meeting_official_name,country_name,city
mtg:qatar-grand-prix-2023,circuit:lusail-150,,2023,Qatar Grand Prix,2023-10-06 13:30:00+00,,,QAT,1221,150,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023,Qatar,
mtg:australian-grand-prix-2024,circuit:melbourne-10,,2024,Australian Grand Prix,2024-03-22 01:30:00+00,,,AUS,1231,10,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,Australia,
mtg:mexico-city-grand-prix-2024,circuit:mexico-city-65,,2024,Mexico City Grand Prix,2024-10-25 18:30:00+00,,,MEX,1248,65,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,Mexico,
mtg:mexico-city-grand-prix-2023,circuit:mexico-city-65,,2023,Mexico City Grand Prix,2023-10-27 18:30:00+00,,,MEX,1223,65,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023,Mexico,
mtg:miami-grand-prix-2024,circuit:miami-151,,2024,Miami Grand Prix,2024-05-03 16:30:00+00,,,USA,1234,151,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,United States,
mtg:monaco-grand-prix-2024,circuit:monte-carlo-22,,2024,Monaco Grand Prix,2024-05-24 11:30:00+00,,,MCO,1236,22,FORMULA 1 GRAND PRIX DE MONACO 2024,Monaco,
mtg:canadian-grand-prix-2024,circuit:montreal-23,,2024,Canadian Grand Prix,2024-06-07 17:30:00+00,,,CAN,1237,23,FORMULA 1 AWS GRAND PRIX DU CANADA 2024,Canada,
mtg:italian-grand-prix-2024,circuit:monza-39,,2024,Italian Grand Prix,2024-08-30 11:30:00+00,,,ITA,1244,39,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,Italy,
mtg:italian-grand-prix-2023,circuit:monza-39,,2023,Italian Grand Prix,2023-09-01 11:30:00+00,,,ITA,1218,39,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023 ,Italy,
mtg:bahrain-grand-prix-2024,circuit:sakhir-63,,2024,Bahrain Grand Prix,2024-02-29 11:30:00+00,,,BHR,1229,63,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,Bahrain,
